observation_date,CSUSHPISA,Crime Rate,Tax,Population ,Pollution,Avg. Area occupied,Interest Rate,Inflation
2004-08-01,152.63300000000000,431.9,5.72,0.55827,19.6,2140,4.3,2.68
2004-09-01,154.17900000000000,431.9,5.72,0.55826,19.6,2140,4.3,2.68
2004-10-01,155.75100000000000,431.9,5.72,0.55781,19.6,2140,4.3,2.68
2004-11-01,157.52700000000000,431.9,5.72,0.55700,19.6,2140,4.3,2.68
2004-12-01,159.33000000000000,431.9,5.72,0.55766,19.6,2140,4.3,2.68
2005-01-01,161.28800000000000,404.5,6.19,0.55724,19.47,2227,6.2,3.23
2005-02-01,163.34400000000000,404.5,6.19,0.55645,19.47,2227,6.2,3.23
2005-03-01,165.81200000000000,404.5,6.19,0.55542,19.47,2227,6.2,3.23
2005-04-01,167.50100000000000,404.5,6.19,0.55539,19.47,2227,6.2,3.23
2005-05-01,169.35100000000000,404.5,6.19,0.55472,19.47,2227,6.2,3.23
2005-06-01,171.19000000000000,404.5,6.19,0.55385,19.47,2227,6.2,3.23
2005-07-01,172.86000000000000,404.5,6.19,0.55295,19.47,2227,6.2,3.23
2005-08-01,174.44000000000000,404.5,6.19,0.55313,19.47,2227,6.2,3.23
2005-09-01,176.43700000000000,404.5,6.19,0.55257,19.47,2227,6.2,3.23
2005-10-01,178.02700000000000,404.5,6.19,0.55180,19.47,2227,6.2,3.23
2005-11-01,179.68100000000000,404.5,6.19,0.55106,19.47,2227,6.2,3.23
2005-12-01,180.91000000000000,404.5,6.19,0.54703,19.47,2227,6.2,3.23
2006-01-01,182.32000000000000,387.8,6.63,0.54636,18.95,2248,8,3.47
2006-02-01,183.28700000000000,387.8,6.63,0.54561,18.95,2248,8,3.47
2006-03-01,184.36400000000000,387.8,6.63,0.54496,18.95,2248,8,3.47
2006-04-01,184.32900000000000,387.8,6.63,0.54419,18.95,2248,8,3.47
2006-05-01,184.15600000000000,387.8,6.63,0.54372,18.95,2248,8,3.47
2006-06-01,183.50700000000000,387.8,6.63,0.54315,18.95,2248,8,3.47
2006-07-01,183.06700000000000,387.8,6.63,0.54265,18.95,2248,8,3.47
2006-08-01,182.59300000000000,387.8,6.63,0.54234,18.95,2248,8,3.47
2006-09-01,182.79900000000000,387.8,6.63,0.54200,18.95,2248,8,3.47
2006-10-01,183.20000000000000,387.8,6.63,0.54152,18.95,2248,8,3.47
2006-11-01,183.61100000000000,387.8,6.63,0.54107,18.95,2248,8,3.47
2006-12-01,184.14100000000000,387.8,6.63,0.53966,18.95,2248,8,3.47
2007-01-01,184.51800000000000,471.8,6.93,0.53933,19.04,2277,8.1,3.23
2007-02-01,184.59900000000000,471.8,6.93,0.53887,19.04,2277,8.1,3.23
2007-03-01,184.15000000000000,471.8,6.93,0.53846,19.04,2277,8.1,3.23
2007-04-01,183.01100000000000,471.8,6.93,0.53763,19.04,2277,8.1,3.23
2007-05-01,181.60100000000000,471.8,6.93,0.53732,19.04,2277,8.1,3.23
2007-06-01,180.25400000000000,471.8,6.93,0.53688,19.04,2277,8.1,3.23
2007-07-01,179.11100000000000,471.8,6.93,0.53649,19.04,2277,8.1,3.23
2007-08-01,178.11700000000000,471.8,6.93,0.53813,19.04,2277,8.1,3.23
2007-09-01,177.55800000000000,471.8,6.93,0.53806,19.04,2277,8.1,3.23
2007-10-01,176.62400000000000,471.8,6.93,0.53789,19.04,2277,8.1,3.23
2007-11-01,175.14700000000000,471.8,6.93,0.53777,19.04,2277,8.1,3.23
2007-12-01,174.34100000000000,471.8,6.93,0.53679,19.04,2277,8.1,3.23
2008-01-01,173.13300000000000,458.6,7.03,0.53680,18.28,2215,5.1,3.84
2008-02-01,171.54200000000000,458.6,7.03,0.53664,18.28,2215,5.1,3.84
2008-03-01,170.05400000000000,458.6,7.03,0.53644,18.28,2215,5.1,3.84
2008-04-01,168.33700000000000,458.6,7.03,0.53821,18.28,2215,5.1,3.84
2008-05-01,166.65800000000000,458.6,7.03,0.53835,18.28,2215,5.1,3.84
2008-06-01,165.01700000000000,458.6,7.03,0.53831,18.28,2215,5.1,3.84
2008-07-01,163.56700000000000,458.6,7.03,0.53828,18.28,2215,5.1,3.84
2008-08-01,161.98900000000000,458.6,7.03,0.54025,18.28,2215,5.1,3.84
2008-09-01,160.30900000000000,458.6,7.03,0.53894,18.28,2215,5.1,3.84
2008-10-01,158.32900000000000,458.6,7.03,0.53873,18.28,2215,5.1,3.84
2008-11-01,156.14200000000000,458.6,7.03,0.53852,18.28,2215,5.1,3.84
2008-12-01,153.61800000000000,458.6,7.03,0.53830,18.28,2215,5.1,3.84
2009-01-01,151.50400000000000,431.9,7.5,0.53809,16.81,2135,3.3,-0.36
2009-02-01,150.01200000000000,431.9,7.5,0.53787,16.81,2135,3.3,-0.36
2009-03-01,148.65900000000000,431.9,7.5,0.53766,16.81,2135,3.3,-0.36
2009-04-01,147.94900000000000,431.9,7.5,0.53744,16.81,2135,3.3,-0.36
2009-05-01,147.69600000000000,431.9,7.5,0.53723,16.81,2135,3.3,-0.36
2009-06-01,148.09000000000000,431.9,7.5,0.53701,16.81,2135,3.3,-0.36
2009-07-01,148.40900000000000,431.9,7.5,0.53680,16.81,2135,3.3,-0.36
2009-08-01,148.27600000000000,431.9,7.5,0.53659,16.81,2135,3.3,-0.36
2009-09-01,148.02300000000000,431.9,7.5,0.53637,16.81,2135,3.3,-0.36
2009-10-01,147.84800000000000,431.9,7.5,0.53616,16.81,2135,3.3,-0.36
2009-11-01,148.13300000000000,431.9,7.5,0.53594,16.81,2135,3.3,-0.36
2009-12-01,147.92900000000000,431.9,7.5,0.53573,16.81,2135,3.3,-0.36
2010-01-01,147.39500000000000,404.5,7.67,0.53551,17.43,2169,3.3,1.64
2010-02-01,145.63200000000000,404.5,7.67,0.53530,17.43,2169,3.3,1.64
2010-03-01,145.86000000000000,404.5,7.67,0.53509,17.43,2169,3.3,1.64
2010-04-01,146.40100000000000,404.5,7.67,0.53487,17.43,2169,3.3,1.64
2010-05-01,146.39100000000000,404.5,7.67,0.53466,17.43,2169,3.3,1.64
2010-06-01,145.71700000000000,404.5,7.67,0.53444,17.43,2169,3.3,1.64
2010-07-01,144.98800000000000,404.5,7.67,0.53423,17.43,2169,3.3,1.64
2010-08-01,143.91200000000000,404.5,7.67,0.53401,17.43,2169,3.3,1.64
2010-09-01,143.01500000000000,404.5,7.67,0.53380,17.43,2169,3.3,1.64
2010-10-01,142.52500000000000,404.5,7.67,0.53359,17.43,2169,3.3,1.64
2010-11-01,142.16900000000000,404.5,7.67,0.53337,17.43,2169,3.3,1.64
2010-12-01,142.06100000000000,404.5,7.67,0.53316,17.43,2169,3.3,1.64
2011-01-01,141.52600000000000,387.1,7.45,0.53294,16.6,2233,3.3,3.16
2011-02-01,140.35600000000000,387.1,7.45,0.53273,16.6,2233,3.3,3.16
2011-03-01,139.98700000000000,387.1,7.45,0.53251,16.6,2233,3.3,3.16
2011-04-01,140.01100000000000,387.1,7.45,0.53230,16.6,2233,3.3,3.16
2011-05-01,139.90400000000000,387.1,7.45,0.53208,16.6,2233,3.3,3.16
2011-06-01,139.86000000000000,387.1,7.45,0.53187,16.6,2233,3.3,3.16
2011-07-01,139.72700000000000,387.1,7.45,0.53166,16.6,2233,3.3,3.16
2011-08-01,139.30600000000000,387.1,7.45,0.53144,16.6,2233,3.3,3.16
2011-09-01,138.66700000000000,387.1,7.45,0.53123,16.6,2233,3.3,3.16
2011-10-01,137.95400000000000,387.1,7.45,0.53101,16.6,2233,3.3,3.16
2011-11-01,137.15400000000000,387.1,7.45,0.53080,16.6,2233,3.3,3.16
2011-12-01,136.67600000000000,387.1,7.45,0.53058,16.6,2233,3.3,3.16
2012-01-01,136.60700000000000,387.8,7.42,0.53037,15.79,2306,3.3,2.07
2012-02-01,136.52900000000000,387.8,7.42,0.53016,15.79,2306,3.3,2.07
2012-03-01,137.90300000000000,387.8,7.42,0.52994,15.79,2306,3.3,2.07
2012-04-01,139.15500000000000,387.8,7.42,0.52973,15.79,2306,3.3,2.07
2012-05-01,140.15600000000000,387.8,7.42,0.52951,15.79,2306,3.3,2.07
2012-06-01,141.02900000000000,387.8,7.42,0.52930,15.79,2306,3.3,2.07
2012-07-01,141.66700000000000,387.8,7.42,0.52908,15.79,2306,3.3,2.07
2012-08-01,142.27700000000000,387.8,7.42,0.52887,15.79,2306,3.3,2.07
2012-09-01,142.90700000000000,387.8,7.42,0.52866,15.79,2306,3.3,2.07
2012-10-01,143.60000000000000,387.8,7.42,0.52844,15.79,2306,3.3,2.07
2012-11-01,144.58500000000000,387.8,7.42,0.52823,15.79,2306,3.3,2.07
2012-12-01,145.50100000000000,387.8,7.42,0.52801,15.79,2306,3.3,2.07
2013-01-01,146.83500000000000,369.1,8.08,0.52780,16.11,2384,3.3,1.46
2013-02-01,147.78400000000000,369.1,8.08,0.52758,16.11,2384,3.3,1.46
2013-03-01,149.96500000000000,369.1,8.08,0.52737,16.11,2384,3.3,1.46
2013-04-01,151.52100000000000,369.1,8.08,0.52715,16.11,2384,3.3,1.46
2013-05-01,152.85400000000000,369.1,8.08,0.52694,16.11,2384,3.3,1.46
2013-06-01,154.19400000000000,369.1,8.08,0.52673,16.11,2384,3.3,1.46
2013-07-01,155.60600000000000,369.1,8.08,0.52651,16.11,2384,3.3,1.46
2013-08-01,156.97300000000000,369.1,8.08,0.52630,16.11,2384,3.3,1.46
2013-09-01,158.23400000000000,369.1,8.08,0.52608,16.11,2384,3.3,1.46
2013-10-01,159.24700000000000,369.1,8.08,0.52587,16.11,2384,3.3,1.46
2013-11-01,160.07500000000000,369.1,8.08,0.52565,16.11,2384,3.3,1.46
2013-12-01,160.99700000000000,369.1,8.08,0.52544,16.11,2384,3.3,1.46
2014-01-01,161.94800000000000,361.6,8.44,0.52523,16.04,2453,3.3,1.62
2014-02-01,162.53000000000000,361.6,8.44,0.52501,16.04,2453,3.3,1.62
2014-03-01,163.09300000000000,361.6,8.44,0.52480,16.04,2453,3.3,1.62
2014-04-01,163.40000000000000,361.6,8.44,0.52458,16.04,2453,3.3,1.62
2014-05-01,163.66600000000000,361.6,8.44,0.52437,16.04,2453,3.3,1.62
2014-06-01,164.04000000000000,361.6,8.44,0.52415,16.04,2453,3.3,1.62
2014-07-01,164.57400000000000,361.6,8.44,0.52394,16.04,2453,3.3,1.62
2014-08-01,165.21900000000000,361.6,8.44,0.52372,16.04,2453,3.3,1.62
2014-09-01,165.90900000000000,361.6,8.44,0.52351,16.04,2453,3.3,1.62
2014-10-01,166.64600000000000,361.6,8.44,0.52330,16.04,2453,3.3,1.62
2014-11-01,167.33900000000000,361.6,8.44,0.52308,16.04,2453,3.3,1.62
2014-12-01,168.05800000000000,361.6,8.44,0.52287,16.04,2453,3.3,1.62
2015-01-01,168.66300000000000,373.7,9.2,0.52265,15.56,2467,3.3,0.12
2015-02-01,169.13800000000000,373.7,9.2,0.52244,15.56,2467,3.3,0.12
2015-03-01,169.81200000000000,373.7,9.2,0.52222,15.56,2467,3.3,0.12
2015-04-01,170.31200000000000,373.7,9.2,0.52201,15.56,2467,3.3,0.12
2015-05-01,170.89400000000000,373.7,9.2,0.52180,15.56,2467,3.3,0.12
2015-06-01,171.43700000000000,373.7,9.2,0.52158,15.56,2467,3.3,0.12
2015-07-01,172.13100000000000,373.7,9.2,0.52137,15.56,2467,3.3,0.12
2015-08-01,172.94800000000000,373.7,9.2,0.52115,15.56,2467,3.3,0.12
2015-09-01,173.84000000000000,373.7,9.2,0.52094,15.56,2467,3.3,0.12
2015-10-01,174.80200000000000,373.7,9.2,0.52072,15.56,2467,3.3,0.12
2015-11-01,175.74700000000000,373.7,9.2,0.52051,15.56,2467,3.3,0.12
2015-12-01,176.55300000000000,373.7,9.2,0.52030,15.56,2467,3.3,0.12
2016-01-01,177.30200000000000,397.5,9.4,0.52008,15.15,2422,3.3,1.26
2016-02-01,177.66700000000000,397.5,9.4,0.51987,15.15,2422,3.3,1.26
2016-03-01,178.19300000000000,397.5,9.4,0.51965,15.15,2422,3.3,1.26
2016-04-01,178.80000000000000,397.5,9.4,0.51944,15.15,2422,3.3,1.26
2016-05-01,179.46000000000000,397.5,9.4,0.51922,15.15,2422,3.3,1.26
2016-06-01,180.05700000000000,397.5,9.4,0.51901,15.15,2422,3.3,1.26
2016-07-01,180.84800000000000,397.5,9.4,0.51879,15.15,2422,3.3,1.26
2016-08-01,181.86800000000000,397.5,9.4,0.51858,15.15,2422,3.3,1.26
2016-09-01,182.83700000000000,397.5,9.4,0.51837,15.15,2422,3.3,1.26
2016-10-01,183.75100000000000,397.5,9.4,0.51815,15.15,2422,3.3,1.26
2016-11-01,184.74000000000000,397.5,9.4,0.51794,15.15,2422,3.3,1.26
2016-12-01,185.69000000000000,397.5,9.4,0.51772,15.15,2422,3.3,1.26
2017-01-01,186.79300000000000,394.9,9.58,0.51751,14.82,2426,4.1,2.13
2017-02-01,187.31300000000000,394.9,9.58,0.51729,14.82,2426,4.1,2.13
2017-03-01,188.03200000000000,394.9,9.58,0.51708,14.82,2426,4.1,2.13
2017-04-01,188.81800000000000,394.9,9.58,0.51687,14.82,2426,4.1,2.13
2017-05-01,189.70700000000000,394.9,9.58,0.51665,14.82,2426,4.1,2.13
2017-06-01,190.52200000000000,394.9,9.58,0.51644,14.82,2426,4.1,2.13
2017-07-01,191.49900000000000,394.9,9.58,0.51622,14.82,2426,4.1,2.13
2017-08-01,192.72300000000000,394.9,9.58,0.51601,14.82,2426,4.1,2.13
2017-09-01,193.78600000000000,394.9,9.58,0.51579,14.82,2426,4.1,2.13
2017-10-01,194.77800000000000,394.9,9.58,0.51558,14.82,2426,4.1,2.13
2017-11-01,195.86600000000000,394.9,9.58,0.51536,14.82,2426,4.1,2.13
2017-12-01,197.04400000000000,394.9,9.58,0.51515,14.82,2426,4.1,2.13
2018-01-01,198.20100000000000,383.4,10.58,0.51494,15.22,2386,4.9,2.44
2018-02-01,199.18400000000000,383.4,10.58,0.51472,15.22,2386,4.9,2.44
2018-03-01,200.03800000000000,383.4,10.58,0.51451,15.22,2386,4.9,2.44
2018-04-01,200.87600000000000,383.4,10.58,0.51429,15.22,2386,4.9,2.44
2018-05-01,201.64600000000000,383.4,10.58,0.51408,15.22,2386,4.9,2.44
2018-06-01,202.34500000000000,383.4,10.58,0.51386,15.22,2386,4.9,2.44
2018-07-01,203.01500000000000,383.4,10.58,0.51365,15.22,2386,4.9,2.44
2018-08-01,203.78300000000000,383.4,10.58,0.51344,15.22,2386,4.9,2.44
2018-09-01,204.36600000000000,383.4,10.58,0.51322,15.22,2386,4.9,2.44
2018-10-01,205.01700000000000,383.4,10.58,0.51301,15.22,2386,4.9,2.44
2018-11-01,205.46400000000000,383.4,10.58,0.51279,15.22,2386,4.9,2.44
2018-12-01,205.86700000000000,383.4,10.58,0.51258,15.22,2386,4.9,2.44
2019-01-01,206.26600000000000,380.8,10.03,0.51236,14.67,2301,5.3,1.81
2019-02-01,206.71200000000000,380.8,10.03,0.51215,14.67,2301,5.3,1.81
2019-03-01,207.20200000000000,380.8,10.03,0.51194,14.67,2301,5.3,1.81
2019-04-01,207.94100000000000,380.8,10.03,0.51172,14.67,2301,5.3,1.81
2019-05-01,208.58000000000000,380.8,10.03,0.51151,14.67,2301,5.3,1.81
2019-06-01,208.94700000000000,380.8,10.03,0.51129,14.67,2301,5.3,1.81
2019-07-01,209.49600000000000,380.8,10.03,0.51108,14.67,2301,5.3,1.81
2019-08-01,210.23100000000000,380.8,10.03,0.51086,14.67,2301,5.3,1.81
2019-09-01,210.91100000000000,380.8,10.03,0.51065,14.67,2301,5.3,1.81
2019-10-01,211.59800000000000,380.8,10.03,0.51043,14.67,2301,5.3,1.81
2019-11-01,212.44600000000000,380.8,10.03,0.51022,14.67,2301,5.3,1.81
2019-12-01,213.43400000000000,380.8,10.03,0.51001,14.67,2301,5.3,1.81
2020-01-01,214.49000000000000,398.5,10.62,0.50979,14.14,2261,3.5,4.7
2020-02-01,215.54900000000000,398.5,10.62,0.50958,14.12,2261,3.5,4.7
2020-03-01,216.60200000000000,398.5,10.62,0.50936,14.09,2261,3.5,4.7
2020-04-01,217.46400000000000,398.5,10.62,0.50915,14.06,2261,3.5,4.7
2020-05-01,217.68900000000000,398.5,10.62,0.50893,14.03,2261,3.5,4.7
2020-06-01,218.13900000000000,398.5,10.62,0.50872,14.01,2261,3.5,4.7
2020-07-01,219.70200000000000,398.5,10.62,0.50851,13.98,2261,3.5,4.7
2020-08-01,222.53900000000000,398.5,10.62,0.50829,13.95,2261,3.5,4.7
2020-09-01,225.79300000000000,398.5,10.62,0.50808,13.92,2261,3.5,4.7
2020-10-01,229.40300000000000,398.5,10.62,0.50786,13.89,2261,3.5,4.7
2020-11-01,232.67300000000000,398.5,10.62,0.50765,13.87,2261,3.5,4.7
2020-12-01,235.70000000000000,398.5,10.62,0.50743,13.84,2261,3.5,4.7
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
